chr1_GL456221_random	136050	136150	B3-1-2	328	0.000220930765147902	+	Csprs, 
chr10	6791750	6791850	B3-2-2	66	0.000104601515771056	+	Oprm1, 
chr10	6814750	6814850	N3-1-2	517	0.000343685558957695	+	Oprm1, 
chr10	6844450	6844550	N3-1-13	499	0.000689253175537175	-	Oprm1, 
chr10	6884550	6884650	N3-1-11	2569	0.00272961316844444	+	Oprm1, Ipcef1, 
chr10	6909650	6909750	B3-14	331	0.000895846358289827	+	Ipcef1, Oprm1, Ipcef1, Ipcef1, 
chr10	7000650	7000750	B3-2-2	132	0.000209203031542112	+	Oprm1, Ipcef1, 
chr10	7124950	7125050	B3-1-3	164	0.000153141644815969	-	Cnksr3, 
chr10	7163250	7163350	B3-2-21	297	0.000487590253448429	+	Cnksr3, 
chr10	7235450	7235550	B3-14	396	0.00107176784858843	+	No results within 20000 bp window
chr10	7304950	7305050	N3-2-22	3066	0.00250661604381427	-	No results within 20000 bp window
chr10	7391050	7391150	B3-1	134	0.000208837895038697	+	No results within 20000 bp window
chr10	7431250	7431350	N3-1-2	506	0.000336373100256468	+	Ulbp1, 
chr10	7447750	7447850	B3-1-2	175	0.000117874646039277	+	Ulbp1, 
chr10	7576750	7576850	N3-1-5	194	0.000175682467523647	-	Lrp11, 
chr10	7606650	7606750	B3-2-21	101	0.000165813520532967	+	Lrp11, 
chr10	7646450	7646550	B3-1-2	264	0.000177822323167824	-	Pcmt1, A630066F11Rik, 
chr10	7656350	7656450	N3-2-7	172	0.00017357116619641	-	Pcmt1, A630066F11Rik, Nup43, 
chr10	7656350	7656450	B3-2-7	78	0.000121234352219988	-	Pcmt1, A630066F11Rik, Nup43, 
chr10	7675350	7675450	N3-2-21	552	0.000721315931150917	-	Nup43, BC020402, Lats1, A630066F11Rik, Pcmt1, 
chr10	7686350	7686450	B3-1	84	0.000130913307337691	-	Lats1, BC020402, Nup43, 
chr10	7710850	7710950	B3-2-21	73	0.000119845415830759	-	Lats1, Katna1, 
chr10	7715950	7716050	B3-18	76	0.000103765457298466	-	Lats1, Katna1, 
chr10	7716650	7716750	B3-2-21	7435	0.0122061735164615	+	Lats1, Katna1, 
chr10	7720750	7720850	B3-1	78	0.00012156235681357	+	Lats1, Katna1, 
chr10	7764050	7764150	B3-2-21	100	0.000164171802507888	-	Katna1, Ginm1, 
chr10	7770250	7770350	B3-2-22	149	0.000203492977443691	+	Ginm1, Katna1, 
chr10	7777750	7777850	B3-1-15	14156	0.0186567557593969	-	Ginm1, Katna1, Ppil4, 
chr10	7788550	7788650	N3-10	146	0.000150001438369957	+	Ppil4, Ginm1, 
chr10	7794950	7795050	N3-1-2	525	0.000349003710740406	+	Ppil4, Ginm1, 
chr10	7796750	7796850	B3-2-21	87	0.000142829468181863	-	Ppil4, Ginm1, 
chr10	7798350	7798450	B3-4	154	0.000146817259226845	+	Ppil4, Ginm1, 
chr10	7802450	7802550	N3-9	151	0.000156049125504834	-	Ppil4, 
chr10	7802450	7802550	B3-9	140	0.000113307569350302	-	Ppil4, 
chr10	7877750	7877850	N3-2-22	952	0.000778310004472012	-	Zc3h12d, 
chr10	7900950	7901050	B3-1	105	0.000163641634172114	+	Tab2, 
chr10	7905050	7905150	N3-2-36	427	0.000313551673976753	-	Tab2, 
chr10	7909450	7909550	B3-2-36	337	0.000270391923866621	-	Tab2, 
chr10	7920750	7920850	B3-2-21	141	0.000231482241536123	-	Tab2, 
chr10	7926950	7927050	B3-1	103	0.000160524650664073	-	Tab2, 
chr10	7987050	7987150	N3-1	242	0.000272747969605507	-	No results within 20000 bp window
chr10	7994550	7994650	B3-2-22	149	0.000203492977443691	+	No results within 20000 bp window
chr10	8057350	8057450	B3-14	166	0.00044927642137798	-	No results within 20000 bp window
chr10	8067550	8067650	B3-2-36	221	0.000177319332862086	-	No results within 20000 bp window
chr10	8082950	8083050	N3-1-5	230	0.000208283337785767	+	No results within 20000 bp window
chr10	8110950	8111050	B3-2-22	218	0.000297727980420971	-	No results within 20000 bp window
chr10	8183350	8183450	N3-2-21	103	0.000134593371211131	+	No results within 20000 bp window
chr10	8290450	8290550	N3-1-13	193	0.000266584895548447	+	Ust, 
chr10	8308050	8308150	N3-8	350	0.000383186645835911	+	Ust, 
chr10	8308150	8308250	B3-8	258	0.000275811639892626	+	Ust, 
chr10	8330950	8331050	N3-8	299	0.000327350877442678	-	Ust, 
chr10	8376750	8376850	B3-2-21	109	0.000178947264733598	+	Ust, 
chr10	8408050	8408150	B3-1-11	92	0.00011684720830428	-	Ust, 
chr10	8463650	8463750	N3-1	262	0.000295289124118359	+	Ust, 
chr10	8470350	8470450	B3-1-2	158	0.000106423966138319	-	Ust, 
chr10	8820850	8820950	N3-10	241	0.000247605114021641	+	Sash1, 
chr10	9009250	9009350	N3-2-7	137	0.000138251452144815	+	No results within 20000 bp window
chr10	9369850	9369950	B3-21	136	0.000166922778576934	-	No results within 20000 bp window
chr10	9393450	9393550	N3-4	62	0.000103665754853898	+	No results within 20000 bp window
chr10	9449950	9450050	B3-1-11	255	0.000323869979539038	+	No results within 20000 bp window
chr10	9469950	9470050	B3-8	102	0.00010904181112034	-	No results within 20000 bp window
chr10	9483950	9484050	B3-2-21	161	0.0002643166020377	+	No results within 20000 bp window
chr10	9547050	9547150	B3-1-2	220	0.00014818526930652	+	No results within 20000 bp window
chr10	9577550	9577650	N3-1	231	0.000260350334623439	-	No results within 20000 bp window
chr10	9585450	9585550	N3-8	416	0.000455444699050682	+	No results within 20000 bp window
chr10	9644450	9644550	B3-2-22	97	0.000132475294040524	-	Samd5, 
chr10	9750350	9750450	B3-1	76	0.00011844537330553	-	Stxbp5, 
chr10	9797450	9797550	B3-2-21	69	0.000113278543730443	+	Stxbp5, 
chr10	9844150	9844250	N3-1-3	188	0.000168310830712429	+	Stxbp5, 
chr10	9862050	9862150	B3-1-3	800	0.000747032413736432	+	Stxbp5, 
chr10	9864650	9864750	B3-8	143	0.000152872343041262	+	Stxbp5, 
chr10	9864850	9864950	N3-8	562	0.000615288271313662	-	Stxbp5, 
chr10	9864850	9864950	B3-8	539	0.000576211139155525	-	Stxbp5, 
chr10	9881050	9881150	N3-1-2	609	0.000404844304458871	-	Stxbp5, 
chr10	9937250	9937350	B3-1	72	0.000112211406289449	+	No results within 20000 bp window
chr10	9985750	9985850	B3-18	93	0.000126976151694176	-	No results within 20000 bp window
chr10	9993350	9993450	N3-1	201	0.000226538602854161	+	No results within 20000 bp window
chr10	10165250	10165350	B3-1-3	145	0.000135399624989728	-	No results within 20000 bp window
chr10	10245550	10245650	N3-2-22	176	0.000143889244524238	+	No results within 20000 bp window
chr10	10293850	10293950	B3-2-36	503	0.000403582010993799	-	No results within 20000 bp window
chr10	10500950	10501050	N3-1-11	793	0.00084257814035673	-	No results within 20000 bp window
chr10	10649050	10649150	N3-1-13	478	0.000660246528871282	-	No results within 20000 bp window
chr10	10675950	10676050	N3-9	223	0.000230456655546875	-	Grm1, 
chr10	10718150	10718250	N3-2-36	267	0.000196061585367197	+	Grm1, 
chr10	10799750	10799850	N3-2-21	396	0.000517465776695223	-	Grm1, 
chr10	10927050	10927150	B3-2-22	220	0.000300459429782631	-	Grm1, 
chr10	11001050	11001150	B3-1-2	285	0.000191967280692537	+	Grm1, 
chr10	11056850	11056950	B3-1-2	157	0.00010575039673238	+	Grm1, 
chr10	11161750	11161850	N3-8	517	0.000566021416849045	-	Shprh, 
chr10	11176350	11176450	N3-2-21	1036	0.0013537741026673	+	Shprh, 
chr10	11184550	11184650	N3-18	207	0.000229945834981093	+	Shprh, 
chr10	11186850	11186950	N3-8	349	0.000382091826847808	-	Shprh, 
chr10	11186850	11186950	B3-8	375	0.00040088901147184	-	Shprh, 
chr10	11198750	11198850	B3-8	1947	0.00208141574756179	+	Shprh, 
chr10	11198750	11198850	N3-8	4721	0.00516864044283238	+	Shprh, 
chr10	11200350	11200450	N3-2-21	294	0.000384179137243423	-	Shprh, 
chr10	11213350	11213450	N3-18	119	0.00013219108387802	+	Shprh, Shprh, 
chr10	11290650	11290750	B3-2-21	72	0.00011820369780568	+	Fbxo30, 
chr10	11377550	11377650	N3-8	560	0.000613098633337457	+	Epm2a, 
chr10	11496850	11496950	B3-1-13	67	0.000122934200845127	+	No results within 20000 bp window
chr10	11537350	11537450	N3-2-7	119	0.000120087027775423	+	No results within 20000 bp window
chr10	11537650	11537750	B3-1-11	116	0.000147329088731484	-	No results within 20000 bp window
chr10	11587650	11587750	N3-1-2	264	0.000175499008829461	-	No results within 20000 bp window
chr10	11589750	11589850	B3-1-3	185	0.00017275124567655	-	No results within 20000 bp window
chr10	11635450	11635550	N3-1-2	153	0.000101709652844347	+	No results within 20000 bp window
chr10	11689850	11689950	N3-8	331	0.000362385085061961	-	No results within 20000 bp window
chr10	11766250	11766350	B3-2-36	128	0.000102700790073969	-	No results within 20000 bp window
chr10	11773750	11773850	N3-8	168	0.000183929590001237	-	No results within 20000 bp window
chr10	11930550	11930650	N3-4	143	0.000239100047485604	-	No results within 20000 bp window
chr10	11976550	11976650	B3-1	162	0.000252475664151261	+	No results within 20000 bp window
chr10	12000650	12000750	B3-2-22	249	0.000340065445526705	+	No results within 20000 bp window
chr10	12036150	12036250	N3-10	146	0.000150001438369957	+	No results within 20000 bp window
chr10	12090150	12090250	B3-1-2	347	0.000233728583860738	+	No results within 20000 bp window
chr10	12177250	12177350	B3-2-2	169	0.000267843275231946	-	No results within 20000 bp window
chr10	12264950	12265050	N3-8	98	0.000107292260834055	+	No results within 20000 bp window
chr10	12348550	12348650	B3-2-22	185	0.000252659065953576	+	No results within 20000 bp window
chr10	12353650	12353750	N3-2-2	943	0.000961283614344839	+	No results within 20000 bp window
chr10	12354550	12354650	B3-2-22	156	0.000213053050209502	+	No results within 20000 bp window
chr10	12384550	12384650	B3-2-7	67	0.000104137199983835	+	Utrn, 
chr10	12406850	12406950	B3-21	438	0.000537589536887479	-	Utrn, 
chr10	12411950	12412050	B3-1-15	97	0.000127840160261479	+	Utrn, 
chr10	12416750	12416850	B3-1-11	583	0.00074045567871082	+	Utrn, 
chr10	12420650	12420750	B3-2-36	406	0.000325754068515869	-	Utrn, 
chr10	12421150	12421250	B3-2-21	221	0.000362819683542433	+	Utrn, 
chr10	12423650	12423750	B3-1-11	521	0.000661710820940544	-	Utrn, 
chr10	12511550	12511650	B3-21	251	0.000308070716344195	+	Utrn, 
chr10	12528950	12529050	N3-2-36	809	0.000594059260532069	-	Utrn, 
chr10	12538150	12538250	N3-2-21	219	0.00028617425529357	+	Utrn, 
chr10	12554350	12554450	B3-2-21	100	0.000164171802507888	-	Utrn, 
chr10	12568750	12568850	N3-2-2	616	0.000627943485086342	+	Utrn, 
chr10	12606250	12606350	B3-2-21	227	0.000372669991692907	+	Utrn, 
chr10	12607750	12607850	B3-2-21	88	0.000144471186206942	+	Utrn, 
chr10	12624950	12625050	N3-1	126	0.000142009273430967	-	Utrn, 
chr10	12629950	12630050	N3-1-11	2146	0.00228016732560598	-	Utrn, 
chr10	12692050	12692150	B3-2-21	106	0.000174022110658362	-	Utrn, 
chr10	12723150	12723250	B3-2-21	261	0.000428488404545589	-	Utrn, 
chr10	12734450	12734550	N3-2-36	394	0.000289319343201032	+	Utrn, 
chr10	12792650	12792750	N3-18	215	0.000238832630535918	+	Utrn, 
chr10	12806750	12806850	B3-2-21	62	0.000101786517554891	-	Utrn, 
chr10	12817250	12817350	B3-4	138	0.000131563518008472	+	Utrn, 
chr10	12823250	12823350	B3-2-36	171	0.000137201836739442	-	Utrn, 
chr10	12828150	12828250	N3-2-21	475	0.000620697585682401	-	Utrn, 
chr10	13092350	13092450	B3-2-2	71	0.000112525873026439	-	Plagl1, 
chr10	13095950	13096050	N3-1-15	230	0.000285607848006954	+	Plagl1, 
chr10	13331450	13331550	B3-2-22	145	0.000198030078720371	+	Phactr2, Phactr2, 
chr10	13376050	13376150	B3-1	78	0.00012156235681357	+	Phactr2, 
chr10	13402450	13402550	N3-10	195	0.000200344386863984	+	Phactr2, Phactr2, 
chr10	13474750	13474850	N3-2-21	128	0.000167261665194416	+	Phactr2, 
chr10	13702750	13702850	N3-1-5	289	0.000261712541826464	-	Aig1, 
chr10	13703150	13703250	B3-2-2	5596	0.00886894064022467	+	Aig1, 
chr10	13703150	13703250	N3-2-2	9701	0.0098890905013354	+	Aig1, 
chr10	13705650	13705750	N3-1	96	0.000108197541661689	-	Aig1, 
chr10	13721250	13721350	B3-2-37	1	0.00013374348000535	+	Aig1, 
chr10	13735850	13735950	B3-1-11	92	0.00011684720830428	-	Aig1, 
chr10	13746050	13746150	N3-2-2	916	0.000933760117433587	+	Aig1, 
chr10	13746150	13746250	B3-2-2	65	0.000103016644319979	+	Aig1, 
chr10	13758650	13758750	B3-2-2	65	0.000103016644319979	-	Aig1, 
chr10	13772050	13772150	B3-1-2	167	0.000112486090791767	+	Aig1, 
chr10	13829650	13829750	B3-10	164	0.000121084503693816	+	Aig1, 
chr10	13830950	13831050	N3-2-21	251	0.000327989671592174	+	Aig1, 
chr10	13837350	13837450	B3-2-2	99	0.000156902273656584	+	Aig1, 
chr10	13837350	13837450	N3-2-2	1069	0.00108972659993068	+	Aig1, 
chr10	13855950	13856050	N3-2-7	140	0.00014127885620638	+	Aig1, 
chr10	13862050	13862150	N3-1-5	469	0.000424716893137064	-	Aig1, 
chr10	13862650	13862750	B3-2-36	192	0.000154051185110953	+	Aig1, 
chr10	13862650	13862750	N3-2-36	685	0.000503004441859663	+	Aig1, 
chr10	13876450	13876550	N3-1-2	715	0.000475309815579792	-	Aig1, 
chr10	13905650	13905750	N3-14	203	0.000628496592805417	+	No results within 20000 bp window
chr10	13910950	13911050	B3-2-22	149	0.000203492977443691	+	No results within 20000 bp window
chr10	13936850	13936950	B3-2-21	99	0.00016253008448281	-	No results within 20000 bp window
chr10	13992150	13992250	B3-2-21	85	0.000139546032131705	+	Hivep2, 
chr10	14000450	14000550	B3-1-2	729	0.000491032096929332	+	Hivep2, 
chr10	14008450	14008550	N3-1-2	460	0.00030579372750588	+	Hivep2, 
chr10	14020550	14020650	N3-1-2	425	0.000282526813456519	-	Hivep2, 
chr10	14027550	14027650	B3-1-2	1040	0.000700512182176276	+	Hivep2, 
chr10	14027550	14027650	N3-1-2	816	0.000542451481836517	+	Hivep2, 
chr10	14043050	14043150	N3-14	808	0.0025016022019053	-	Hivep2, 
chr10	14062550	14062650	B3-1-3	154	0.000143803739644263	-	Hivep2, 
chr10	14062950	14063050	B3-1-11	168	0.000213373162990425	+	Hivep2, 
chr10	14082650	14082750	N3-2-2	516	0.000526004607637261	-	Hivep2, 
chr10	14107550	14107650	B3-21	101	0.000123964710560811	-	Hivep2, 
chr10	14140450	14140550	N3-2-2	106	0.000108055210096026	+	Hivep2, 
chr10	14177850	14177950	B3-2-36	148	0.000118747788523026	+	No results within 20000 bp window
chr10	14374450	14374550	N3-2-2	176	0.000179412424310383	-	No results within 20000 bp window
chr10	14419750	14419850	N3-8	251	0.000274799566013753	+	Gpr126, 
chr10	14481450	14481550	B3-2-21	158	0.000259391447962464	-	Gpr126, 
chr10	14482750	14482850	B3-2-21	256	0.000420279814420194	+	Gpr126, 
chr10	14526350	14526450	N3-1-11	283	0.000300693081615327	+	Gpr126, 
chr10	14628150	14628250	N3-1-11	628	0.000667262386058041	-	No results within 20000 bp window
chr10	14674450	14674550	B3-1-3	221	0.000206367704294689	-	Vta1, 
chr10	14681050	14681150	N3-2-2	269	0.000274215580338029	-	Vta1, 
chr10	14691650	14691750	B3-1-2	696	0.000468804306533354	+	Vta1, 1700016L04Rik, 
chr10	14708850	14708950	N3-21	422	0.000600923884873236	+	1700016L04Rik, Vta1, Gje1, 
chr10	14810150	14810250	B3-2-2	75	0.000118865358830745	-	No results within 20000 bp window
chr10	14858050	14858150	N3-1-3	399	0.000357212880075847	+	No results within 20000 bp window
chr10	14884850	14884950	B3-2-2	75	0.000118865358830745	-	No results within 20000 bp window
chr10	14895550	14895650	N3-1-5	287	0.000259901382367457	+	No results within 20000 bp window
chr10	14934050	14934150	N3-2-2	640	0.000652408815674122	-	No results within 20000 bp window
chr10	14968950	14969050	B3-18	123	0.000167936200627781	+	No results within 20000 bp window
chr10	15139950	15140050	N3-2-7	103	0.000103940872780408	-	No results within 20000 bp window
chr10	15283250	15283350	B3-1-2	173	0.0001165275072274	+	No results within 20000 bp window
chr10	15295450	15295550	B3-2-22	354	0.00048346653701387	+	No results within 20000 bp window
chr10	15309950	15310050	B3-14	59	0.000159682583501812	+	No results within 20000 bp window
chr10	15321050	15321150	B3-2-36	145	0.000116340738755668	-	No results within 20000 bp window
chr10	15380450	15380550	B3-2-2	253	0.000400972477122381	+	No results within 20000 bp window
chr10	15381150	15381250	B3-2-21	299	0.000490873689498586	+	No results within 20000 bp window
chr10	15394650	15394750	B3-2-22	163	0.000222613122975313	+	No results within 20000 bp window
chr10	15419750	15419850	N3-2-36	244	0.000179172385129573	-	No results within 20000 bp window
chr10	15425550	15425650	B3-2-22	91	0.000124280945955543	+	No results within 20000 bp window
chr10	15439050	15439150	B3-2-22	133	0.000181641382550409	+	No results within 20000 bp window
chr10	15471750	15471850	B3-1-2	196	0.00013201960356399	+	No results within 20000 bp window
chr10	15491350	15491450	N3-2-36	300	0.000220293916142918	+	No results within 20000 bp window
chr10	15587450	15587550	N3-1	329	0.000370801991736413	+	No results within 20000 bp window
chr10	15707450	15707550	N3-1-15	119	0.000147771017012294	+	No results within 20000 bp window
chr10	15825850	15825950	B3-2-36	333	0.000267182524176809	-	No results within 20000 bp window
chr10	15865450	15865550	B3-18	76	0.000103765457298466	+	No results within 20000 bp window
chr10	15869750	15869850	N3-14	3004	0.00930051115658853	-	No results within 20000 bp window
chr10	15887350	15887450	N3-9	118	0.000121945674235566	+	No results within 20000 bp window
chr10	15922550	15922650	B3-1-15	86	0.000113342822499868	+	No results within 20000 bp window
chr10	16195650	16195750	B3-14	233	0.000630610880608851	-	No results within 20000 bp window
chr10	16196450	16196550	B3-14	288	0.000779467526246133	-	No results within 20000 bp window
chr10	16228550	16228650	N3-8	366	0.000400703749645552	-	No results within 20000 bp window
chr10	16245650	16245750	N3-2-2	325	0.000331301351709515	-	No results within 20000 bp window
chr10	16294750	16294850	N3-1-2	344	0.000228680526656571	+	No results within 20000 bp window
chr10	16395250	16395350	B3-1-3	164	0.000153141644815969	-	No results within 20000 bp window
chr10	16435050	16435150	N3-1-15	396	0.000491742207872842	+	No results within 20000 bp window
chr10	16470950	16471050	N3-1-11	203	0.000215691503773539	+	No results within 20000 bp window
chr10	16603050	16603150	B3-1-2	154	0.000103729688514564	+	No results within 20000 bp window
chr10	16609650	16609750	B3-2-22	137	0.000187104281273729	-	No results within 20000 bp window
chr10	16619850	16619950	B3-2-22	212	0.00028953363233599	-	No results within 20000 bp window
chr10	16622550	16622650	N3-1-15	281	0.000348938283869365	-	No results within 20000 bp window
chr10	16648050	16648150	B3-1-11	433	0.000549943926040797	-	No results within 20000 bp window
chr10	16657250	16657350	B3-1-3	108	0.000100849375854418	-	No results within 20000 bp window
chr10	16681550	16681650	N3-1-5	231	0.00020918891751527	+	No results within 20000 bp window
chr10	16727650	16727750	B3-2-2	93	0.000147393044950124	+	No results within 20000 bp window
chr10	16754650	16754750	B3-1-3	126	0.000117657605163488	-	No results within 20000 bp window
chr10	16832850	16832950	N3-1-3	395	0.000353631798571328	+	No results within 20000 bp window
chr10	16858850	16858950	N3-1-5	449	0.000406605298546997	-	No results within 20000 bp window
chr10	17056850	17056950	B3-1-13	153	0.000280730339243349	+	Gm20125, 
chr10	17087350	17087450	N3-2-21	609	0.000795799641432805	-	Gm20125, 
chr10	17090050	17090150	B3-2-21	230	0.000377595145768143	+	Gm20125, 
chr10	17102950	17103050	B3-2-21	155	0.000254466293887227	-	Gm20125, 
chr10	17214250	17214350	N3-1	259	0.000291907950941431	+	No results within 20000 bp window
chr10	17228550	17228650	B3-2-22	155	0.000211687325528672	+	No results within 20000 bp window
chr10	17244450	17244550	N3-1	201	0.000226538602854161	+	No results within 20000 bp window
chr10	17283650	17283750	N3-8	94	0.000102912984881645	-	No results within 20000 bp window
chr10	17304150	17304250	N3-2-7	153	0.00015439760713983	+	No results within 20000 bp window
chr10	17382850	17382950	N3-9	127	0.000131246615490821	+	No results within 20000 bp window
chr10	17414350	17414450	B3-2-22	145	0.000198030078720371	-	No results within 20000 bp window
chr10	17440850	17440950	B3-21	106	0.000130101577420258	+	No results within 20000 bp window
chr10	17642950	17643050	B3-2-22	259	0.000353722692335007	-	No results within 20000 bp window
chr10	17647350	17647450	B3-1-2	317	0.000213521501682576	+	No results within 20000 bp window
chr10	17852350	17852450	B3-2-36	125	0.00010029374030661	-	Txlnb, 
chr10	17917550	17917650	N3-1-3	203	0.000181739886354378	-	Heca, 
chr10	17925150	17925250	B3-1-2	298	0.000200723682969741	-	Heca, 
chr10	18006250	18006350	B3-2-2	145	0.000229806360406107	-	Abracl, 
chr10	18027250	18027350	N3-1-15	128	0.000158946976282131	-	Abracl, 
chr10	18031950	18032050	N3-1-3	688	0.000615946018777401	-	Abracl, 
chr10	18063650	18063750	N3-1-15	1330	0.00165155842543152	-	Reps1, 
chr10	18063650	18063750	B3-1-15	7958	0.0104881649006273	-	Reps1, 
chr10	18080250	18080350	B3-1	131	0.000204162419776637	-	Reps1, 
chr10	18094850	18094950	B3-1-15	76	0.000100163424534767	-	Reps1, 
chr10	18095050	18095150	B3-9	5631	0.00455739230722538	+	Reps1, 
chr10	18099550	18099650	B3-1-2	288	0.000193987988910353	-	Reps1, 
chr10	18117150	18117250	N3-1-15	157	0.000194958400596051	+	Reps1, Ect2l, 
chr10	18124350	18124450	B3-2-21	185	0.000303717834639594	+	Reps1, Ect2l, 
chr10	18261650	18261750	B3-1-11	197	0.000250205435173296	-	No results within 20000 bp window
chr10	18341450	18341550	B3-2-36	173	0.000138806536584348	+	No results within 20000 bp window
chr10	18350450	18350550	B3-2-21	151	0.000247899421786912	+	No results within 20000 bp window
chr10	18367950	18368050	B3-1-2	267	0.00017984303138564	+	No results within 20000 bp window
chr10	18378350	18378450	B3-2-36	247	0.000198180430845861	-	No results within 20000 bp window
chr10	18416850	18416950	B3-10	145	0.0001070564209488	+	Nhsl1, 
chr10	18434950	18435050	B3-1-3	225	0.000210102866363371	-	Nhsl1, 
chr10	18445050	18445150	B3-1-11	80	0.000101606268090679	-	Nhsl1, 
chr10	18464050	18464150	N3-1-2	249	0.000165527474236878	-	Nhsl1, Nhsl1, 
chr10	18467950	18468050	B3-1-11	134	0.000170190499051887	-	Nhsl1, Nhsl1, 
chr10	18476350	18476450	N3-1-15	148	0.000183782441326214	+	Nhsl1, 
chr10	18521850	18521950	B3-2-21	136	0.000223273651410728	+	Nhsl1, Hebp2, 
chr10	18527850	18527950	N3-2-2	487	0.000496442333177027	-	Nhsl1, Hebp2, 
chr10	18545950	18546050	B3-1-11	229	0.000290847942409567	-	Hebp2, Nhsl1, 
